section,variable,all_infants,infants_without_nec
Infant characteristics,"Gestational age (weeks), mean (SD)",30.01 (1.69),29.94 (1.73)
Infant characteristics,"Birth weight (g), mean (SD)",1316.29 (205.40),1308.07 (203.97)
Infant characteristics,"Male, n/N (%)",90 (48.4),83 (50.0)
Infant characteristics,"Small for gestational age, n/N (%)",15 (8.1),14 (8.4)
Infant characteristics,"Apgar score at 1 minute, mean (SD)",7.69 (1.81),7.69 (1.79)
Infant characteristics,"Apgar score at 5 minute, mean (SD)",8.68 (1.07),8.69 (1.07)
Infant characteristics,"Days of hospital stay, mean (SD)",51.98 (14.93),51.60 (14.64)
Parental characteristics,"Multiple pregnancy, n/N (%)",69 (37.1),61 (36.7)
Parental characteristics,"Vaginal delivery, n/N (%)",61 (32.8),56 (33.7)
Parental characteristics,"Use of prenatal antibiotics, n/N (%)",23 (12.4),20 (12.0)
Parental characteristics,"PPROM, n/N (%)",45 (24.2),41 (24.7)
Parental characteristics,"gestational hypertension, n/N (%)",12 (6.5),24 (14.5)
Parental characteristics,"Gestational diabetes mellitus, n/N (%)",27 (14.5),12 (7.2)
Parental characteristics,"Prenatal corticorsteroid, n/N (%)",160 (86.0),129 (87.2)
Parental characteristics,"Mother's age (years), mean (SD)",31.23 (4.89),31.13 (4.97)
NICU treatment factors,Days of antibiotics use,15.96 (10.35),15.17 (10.29)
NICU treatment factors,Days of anti-fungal drugs use,0.27 (1.23),0.23 (1.19)
NICU treatment factors,Days of human milk feeding,42.52 (16.70),43.48 (16.38)
NICU treatment factors,Days of formula feeding,10.07 (12.12),10.16 (12.41)
NICU treatment factors,Days of mechanical ventilations,0.95 (2.95),0.88 (2.85)
NICU treatment factors,Days of central venous catheters,7.48 (7.87),6.98 (7.07)
NICU treatment factors,Days of probiotics use,6.27 (10.61),6.39 (10.87)
NICU treatment factors,Days of iron supplement,10.87 (11.54),11.54 (11.89)
NICU treatment factors,Days of calcium supplement,4.48 (7.99),4.60 (8.25)
NICU treatment factors,Days of diphosphate supplement,4.19 (8.41),4.20 (8.65)
NICU treatment factors,Days of zinc supplement,3.61 (8.73),3.81 (9.08)
NICU treatment factors,Days of magnesium supplement,3.27 (5.91),2.90 (5.75)
NICU treatment factors,Days of lactase use,0.91 (4.80),0.95 (5.00)
NICU treatment factors,Days of diuretic drugs use,0.99 (3.83),0.83 (3.00)
NICU treatment factors,Days of euthyrox use,0.83 (5.94),0.60 (4.91)
NICU treatment factors,Days of ursodeoxycholic acid use,0.64 (3.13),0.39 (2.11)
NICU treatment factors,Counts of red blood cells transfution,0.60 (0.81),0.54 (0.76)
